ID,Q1,Q2,Q3,Q4,Q5,Q6,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,30,30,40,,,,,,,,,,,,,
200901013079,17,5,19,,,,,,,,,,,,,
200901013080,20,27,30,,,,,,,,,,,,,
200901013084,20,21,11,,,,,,,,,,,,,
201001011007,28,30,38,,,,,,,,,,,,,
201001011009,27,27,39,,,,,,,,,,,,,
201001011012,29,30,37,,,,,,,,,,,,,
201001011014,27,30,39,,,,,,,,,,,,,
201001011016,27,29,32,,,,,,,,,,,,,
201001011019,29,30,39,,,,,,,,,,,,,
201001011022,20,22,24,,,,,,,,,,,,,
201001011023,30,30,38,,,,,,,,,,,,,
201001011025,30,30,35,,,,,,,,,,,,,
201001011026,28,30,26,,,,,,,,,,,,,
201001011027,26,30,26,,,,,,,,,,,,,
201001011028,25,30,38,,,,,,,,,,,,,
201001011029,30,30,40,,,,,,,,,,,,,
201001011030,29,29,33,,,,,,,,,,,,,
201001011031,21,14,8,,,,,,,,,,,,,
201001011033,28,30,36,,,,,,,,,,,,,
201001011034,27,30,38,,,,,,,,,,,,,
201001011036,29,30,38,,,,,,,,,,,,,
201001011039,30,27,38,,,,,,,,,,,,,
201001011040,28,30,25,,,,,,,,,,,,,
201001011041,27,8,34,,,,,,,,,,,,,
201001011044,30,29,40,,,,,,,,,,,,,
201001011048,27,30,38,,,,,,,,,,,,,
201001011049,15,16,10,,,,,,,,,,,,,
201001011050,29,30,40,,,,,,,,,,,,,
201001011052,27,38,30,,,,,,,,,,,,,
201001011054,30,25,38,,,,,,,,,,,,,
201001011056,28,30,38,,,,,,,,,,,,,
201001011057,18,11,12,,,,,,,,,,,,,
201001011062,27,30,24,,,,,,,,,,,,,
201001011065,24,29,38,,,,,,,,,,,,,
201001011069,28,26,33,,,,,,,,,,,,,
201001011072,20,16,30,,,,,,,,,,,,,
201001011073,26,22,23,,,,,,,,,,,,,
201001011074,29,28,39,,,,,,,,,,,,,
201001011075,25,29,23,,,,,,,,,,,,,
201001011076,24,21,33,,,,,,,,,,,,,
201001011081,20,21,30,,,,,,,,,,,,,
201001011082,24,30,2,,,,,,,,,,,,,
201001011089,22,28,31,,,,,,,,,,,,,
201001011091,17,15,10,,,,,,,,,,,,,
201001011096,29,29,40,,,,,,,,,,,,,
201001011098,11,5,13,,,,,,,,,,,,,
201001011099,28,30,27,,,,,,,,,,,,,
201001011102,27,22,11,,,,,,,,,,,,,
201001012045,27,22,23,,,,,,,,,,,,,
201001012047,29,25,37,,,,,,,,,,,,,
201001012059,19,8,0,,,,,,,,,,,,,
201001012060,27,22,37,,,,,,,,,,,,,
201001012063,29,30,39,,,,,,,,,,,,,
201001012067,29,28,30,,,,,,,,,,,,,
201001012070,29,27,31,,,,,,,,,,,,,
201001012077,25,16,13,,,,,,,,,,,,,
201001013015,27,6,8,,,,,,,,,,,,,
201001013017,27,25,31,,,,,,,,,,,,,
201001013018,26,30,28,,,,,,,,,,,,,
201001013038,29,30,30,,,,,,,,,,,,,
201001013046,29,30,40,,,,,,,,,,,,,
201001013051,27,24,35,,,,,,,,,,,,,
201001013053,21,22,10,,,,,,,,,,,,,
201001013055,26,29,36,,,,,,,,,,,,,
201001013061,26,25,28,,,,,,,,,,,,,
201001013064,22,20,8,,,,,,,,,,,,,
201001013066,23,28,37,,,,,,,,,,,,,
201001013068,22,24,23,,,,,,,,,,,,,
201001013071,29,25,35,,,,,,,,,,,,,
201001013078,29,29,36,,,,,,,,,,,,,
201001013083,23,12,9,,,,,,,,,,,,,
201001013084,17,10,0,,,,,,,,,,,,,
201001013085,25,7,8,,,,,,,,,,,,,
201001013087,22,28,34,,,,,,,,,,,,,
201001013090,25,10,1,,,,,,,,,,,,,
201001013092,29,28,38,,,,,,,,,,,,,
201001013093,27,30,38,,,,,,,,,,,,,
201001013094,29,30,37,,,,,,,,,,,,,
201001013095,27,20,38,,,,,,,,,,,,,
201001013097,26,16,27,,,,,,,,,,,,,
201001013100,29,30,38,,,,,,,,,,,,,
201001013101,28,22,35,,,,,,,,,,,,,
201003011005,28,27,26,,,,,,,,,,,,,
201003021005,23,28,28,,,,,,,,,,,,,
201003041004,28,28,34,,,,,,,,,,,,,
201003051002,26,30,35,,,,,,,,,,,,,
201003061001,29,30,40,,,,,,,,,,,,,
201003071004,25,30,30,,,,,,,,,,,,,
201003071006,28,30,34,,,,,,,,,,,,,
201008021013,25,9,19,,,,,,,,,,,,,
11CHY4073,17,4,12,,,,,,,,,,,,,
