ID,Q1,Q2,Q3,Q4,Q5
Max,5,5,5,5,5
1,1,0,1,2,0
2,0,1,1,0,0
3,1,0,0,1,0
4,2,4,4,4,0
5,4,5,0,4,0
6,1,4,2,4,2
7,4,2,3,1,0
8,1,5,4,0,0
9,2,3,1,2,0
10,1,3,0,0,0
11,0,1,1,0,0
12,3,5,3,1,0
13,1,2,4,1,1
14,1,3,3,0,1
15,1,0,2,2,0
16,5,4,5,4,0
17,0,1,0,0,0
18,0,1,2,1,1
19,1,1,3,3,0
20,1,1,0,1,0
21,0,5,5,4,4
22,2,2,3,4,0
23,2,4,2,0,5
24,3,3,2,0,2
25,1,1,1,1,1
26,0,1,4,4,1
27,1,2,2,0,0
28,0,1,0,0,0
29,0,4,5,5,3
30,2,2,5,4,0
31,1,5,5,3,2
32,0,1,1,3,0
33,0,1,5,2,2
34,2,4,5,0,1
35,0,2,5,2,0
36,1,1,5,5,0
37,0,1,5,2,0
38,1,2,5,4,0
39,1,1,0,2,0
40,0,0,2,2,0
41,1,3,4,5,0
42,2,2,4,2,0
43,3,5,5,3,0
44,5,4,2,3,0
45,4,1,2,3,1
46,0,5,4,3,0
47,2,1,0,2,3
48,0,1,3,3,0
49,1,1,1,2,0
50,4,2,2,1,1
51,0,1,2,1,0
52,0,0,2,1,1
53,0,2,4,4,0
54,0,1,2,3,0
55,0,3,3,1,0
56,1,1,2,0,0
57,5,4,2,4,0
58,0,2,2,2,1
59,0,2,2,2,0
60,1,2,2,0,0
61,4,2,4,3,0
62,0,5,4,4,1
63,1,1,4,0,0
64,1,0,2,2,1
65,1,1,5,0,0
66,1,5,3,4,0
67,0,4,2,3,1
68,1,0,2,1,0
69,0,2,0,1,1
70,2,0,2,1,0
71,0,1,2,0,0
72,1,5,0,2,1
73,3,4,4,2,0
74,0,0,0,0,0
75,0,1,2,2,0
76,2,5,2,3,0
77,0,3,4,3,0
78,1,2,2,0,0
79,1,2,0,1,1
80,1,1,2,1,2
81,2,5,0,4,2
82,2,5,3,5,0
83,1,2,0,3,1
84,1,2,4,1,0
85,2,0,2,2,0
