Q14,Q1,Q2,Q3,Q4,Q6,Q6,Q7,Q8,Q8,Q10,Q11,Q12,Q13,Q14,Q15
Max. Marks,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
5,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0
6,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0
7,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0
8,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
9,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0
10,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0
11,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0
12,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0
13,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
14,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0
15,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0
16,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
17,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0
18,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
19,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0
20,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0
21,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0
22,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
23,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
24,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
25,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0
26,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
27,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0
28,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0
29,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
30,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0
31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
33,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0
34,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0
36,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
37,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
38,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
39,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0
40,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0
41,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
42,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0
43,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
44,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
45,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
46,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
47,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0
48,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0
49,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0
50,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0
51,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
52,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0
53,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0
54,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
57,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
58,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0
59,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0
60,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0
61,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0
62,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
63,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0
64,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0
65,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
66,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0
67,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0
68,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
69,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
70,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0
71,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0
72,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0
73,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0
74,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0
75,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0
76,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
77,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
78,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
79,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
80,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0
