ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Max,5,5,5,5,5,5,9,8,3
1,3,4,5,0,4,4,6,8,3
2,0,2,4,0,5,2,8,2,3
3,2,3,1,3,4,2,6,2,3
4,3,2,0,0,5,3,7,5,3
5,0,0,4,3,5,2,5,7,0
6,2,1,1,0,3,0,5,2,2
7,5,4,4,0,5,2,7,4,3
8,3,5,2,0,4,3,4,0,3
9,0,0,2,3,5,2,5,4,0
10,0,2,3,0,4,4,4,5,3
11,2,2,0,1,5,3,4,4,0
12,1,3,1,0,5,3,7,6,3
13,2,3,0,0,3,3,8,2,0
14,3,3,3,0,5,2,7,5,3
15,4,1,4,3,0,0,4,3,0
16,1,3,1,0,5,1,2,4,0
17,3,0,0,5,5,3,8,6,3
18,5,2,1,0,5,2,6,6,0
19,2,2,4,1,1,2,1,6,1
20,5,2,0,1,5,2,8,8,3
21,2,0,4,0,5,1,6,6,0
22,0,3,2,3,0,1,3,4,0
23,3,2,0,1,3,2,8,5,1
24,3,0,1,0,1,1,4,0,1
25,3,2,0,1,2,3,5,4,1
26,2,2,2,2,2,1,2,1,1
27,2,0,0,2,4,2,7,8,0
28,2,0,0,2,4,1,5,4,0
29,1,5,1,1,5,0,6,7,3
30,0,2,1,0,2,2,7,2,0
31,2,3,1,0,3,0,5,2,1
32,2,2,0,1,5,2,1,5,0
33,0,1,1,1,3,0,4,2,1
34,3,3,4,4,5,2,2,5,3
35,1,3,0,0,4,2,4,2,1
36,2,3,1,0,0,2,3,0,3
37,1,2,1,1,0,0,5,6,3
38,1,3,2,2,5,5,5,7,3
39,1,3,1,2,3,4,7,0,3
40,2,2,0,3,0,3,4,4,0
41,1,3,4,1,5,0,7,5,0
42,0,0,1,1,3,0,2,5,3
43,5,4,0,0,5,1,6,0,3
44,1,3,0,4,1,2,1,0,3
45,0,0,1,2,0,0,4,1,1
46,2,0,1,2,5,1,0,3,1
47,1,3,1,1,4,3,4,2,3
48,2,0,4,0,4,2,6,6,2
49,1,2,0,0,2,0,1,0,0
50,1,2,1,1,0,0,1,0,0
51,1,0,3,1,0,0,5,4,0
52,1,0,5,2,5,0,3,5,0
53,0,1,1,0,0,1,0,0,0
54,2,2,1,1,3,2,4,2,3
55,2,0,1,0,4,0,1,4,0
56,0,1,0,0,0,0,4,5,3
57,0,5,0,1,0,2,7,2,3
58,0,0,4,4,4,2,8,5,3
59,1,2,1,1,3,0,4,3,3
60,0,0,4,3,5,4,7,7,3
61,3,3,3,1,1,3,6,3,3
62,0,4,1,1,0,0,6,4,0
63,5,4,4,4,0,3,8,3,3
64,5,3,5,4,0,0,9,5,3
65,2,5,3,0,0,2,5,0,0
66,2,4,0,0,1,1,7,4,1
67,2,0,4,0,5,5,7,8,3
68,0,2,3,1,2,0,9,4,2
69,0,5,0,5,5,4,7,8,3
70,0,2,0,2,4,2,3,4,0
71,0,5,3,4,0,2,6,4,1
72,3,0,5,4,5,4,5,6,3
73,2,2,0,1,3,2,3,2,0
74,0,2,4,0,5,2,4,2,3
75,3,2,0,0,5,1,6,4,1
76,3,3,3,0,0,1,4,1,3
77,2,5,3,2,0,2,4,2,3
78,0,1,3,0,0,1,0,1,0
79,0,0,0,0,0,0,5,4,3
80,2,0,0,0,1,1,0,0,1
81,2,2,0,0,0,2,1,0,1
82,0,0,0,0,0,0,3,0,0
83,1,1,0,0,0,0,2,4,0
