ID,Q.1,Q.2,Q.3,Q.4,Q.5,Q.6,Q.7,Q.8,Q.9,Q.10
Max,5,5,5,5,5,5,6,6,6,2
1,3,0,2,3,0,4,1,2,2,1
2,0,3,5,0,4,5,3,4,0,1
3,0,5,0,3,3,4,3,6,3,1
4,0,4,0,3,4,5,3,4,4,0
5,0,3,0,3,3,4,3,3,2,1
6,0,4,1,0,2,3,4,4,3,1
7,3,4,0,3,4,3,3,4,5,1
8,0,4,1,4,0,3,0,1,1,1
9,0,4,5,0,2,4,4,4,5,0
10,0,0,3,3,2,3,4,1,2,0
11,0,0,4,2,0,3,0,2,1,1
12,0,0,3,2,2,3,4,1,4,0
13,0,3,2,4,0,2,4,3,3,1
14,0,2,2,2,0,1,1,2,0,0
15,0,1,2,0,2,1,1,2,2,0
16,0,0,2,3,4,4,2,3,6,0
17,0,0,4,3,2,4,1,0,2,0
18,1,2,3,0,0,3,4,3,5,0
19,0,2,0,1,2,5,1,0,3,0
20,2,2,0,0,4,3,3,1,1,0
21,0,4,0,5,3,4,5,4,3,0
22,1,0,0,0,0,2,3,0,4,0
23,2,2,2,0,1,0,4,5,4,0
24,4,5,3,0,0,5,5,5,4,2
25,0,3,0,4,3,5,4,4,4,1
26,0,5,5,3,0,5,5,6,5,1
27,0,2,2,1,0,1,0,4,0,0
28,3,2,5,4,4,4,2,1,5,0
29,0,1,2,3,0,2,2,3,4,0
30,4,5,2,5,0,0,4,6,3,0
31,0,3,1,3,4,3,1,2,2,0
32,0,0,3,5,5,3,4,5,6,1
33,0,2,0,2,0,4,3,1,4,1
34,0,3,2,2,0,0,3,3,5,0
35,0,3,0,2,2,4,4,1,2,0
36,0,3,1,3,0,4,0,1,1,2
37,0,5,0,4,5,5,4,1,4,0
38,0,1,5,4,0,3,6,5,4,0
39,0,3,0,4,5,4,4,1,4,0
40,0,2,2,0,0,3,2,4,2,0
41,0,0,2,4,2,3,0,0,4,0
42,0,3,3,5,0,3,2,1,2,1
43,1,3,0,2,0,3,2,3,1,0
44,0,4,2,2,0,2,3,1,2,1
45,1,3,2,0,0,0,5,2,4,1
46,0,5,0,4,3,4,4,3,3,1
47,0,4,0,3,2,4,2,1,6,1
48,2,0,2,0,1,4,0,0,0,1
49,0,3,2,1,0,4,3,6,5,0
50,2,4,0,3,2,3,3,2,5,0
51,0,1,2,2,0,2,2,2,4,0
52,0,2,0,2,1,4,2,4,2,0
53,0,4,2,3,0,2,2,2,1,0
54,3,3,0,0,3,4,0,0,2,0
55,0,4,1,2,3,2,0,2,0,0
56,0,3,0,4,3,5,2,1,2,0
57,0,0,0,0,0,0,0,0,0,0
58,1,0,2,1,0,0,0,3,0,0
59,4,0,2,2,0,2,1,1,5,0
60,0,4,4,4,0,2,4,3,5,0
61,2,3,3,0,0,3,3,4,3,0
62,0,0,2,1,2,1,3,0,3,0
63,0,0,2,4,0,3,1,3,1,0
64,1,1,2,2,3,3,6,5,4,0
65,1,1,3,0,3,2,2,4,1,1
66,0,4,3,5,0,5,2,3,6,0
67,0,0,0,1,0,0,0,0,0,0
68,0,1,0,1,2,1,4,3,0,0
69,0,2,3,2,0,0,2,3,0,0
70,0,4,3,2,2,0,2,3,1,0
71,1,2,0,2,2,1,3,0,1,0
72,0,2,0,3,2,3,1,3,1,0
73,0,2,0,3,2,2,0,0,1,0
74,0,5,0,4,3,3,3,6,1,0
75,0,2,1,1,1,2,3,1,2,0
76,0,0,2,4,0,2,0,2,0,0
77,0,0,0,0,2,2,1,0,1,0
