coursecode,coursename,classname,examsession,pointfaculty,facultyname_1,facultyname_2,facultyname_3,facultyname_4,description
MAT1102,Applied Mathematics I,FYCE,0,a.kumar,S. Mahapatra,,,,
CHT1121,Inorganic Chemistry,FYCE,0,bm.bhanage,B. M. Bhanage,A. Yadav,,,
CHT1131,Organic Chemistry ,FYCE,0,v.kumar,S. D. Samant,A. Vijay Kumar,,,
PYT1101,Applied Physics I,FYCE,0,vd.deshpande,V. D. Deshpande,R. R. Deshmukh,S. Kasthurirangan,,
MAT1103,Applied Mathematics III,SYCE,0,a.kumar,S. Gauthaman,,,,
PYT1201,Elective I Statistical Mechanics,SYCE,0,m.narayan,M. Narayan,,,,
GET1114,Elective II: Advanced strength of materils,SYCE,0,vr.gaval,V. R. Gaval,,,,
CHT1341,Physical Chemistry,SYCE,0,rv.jayaram,R. V. Jayaram,J. M. Nagarkar,,,
CET1301,Chemical Engineering Thermodynamics I,SYCE,0,ss.bhagwat,S. S. Bhagwat,,,,
BST1107,Biologial Sciences,SYCE,0,rd.jain,R. D. Jain,,,,
GET1102,Structural Mehanics,SYCE,0,dd.sarode,D. D. Sarode,,,,
CET1101,Momentum and Mass Transfer,SYCE,0,aw.patwardhan,A. W. Patwardhan,,,,
CET1502,Industrial and Engineering Chemistry,TYCE,0,vh.dalvi,K. V. Marathe,V. H. Dalvi,,,
CET1102,Heat Transfer,TYCE,0,vk.rathod,V. K. Rathod,,,,
CET1201,Chemical Reaction Engineering,TYCE,0,av.patwardhan,A. V. Patwardhan,,,,
CET1402,Separation Processes,TYCE,0,pr.gogate,P. R. Gogate,,,,
CET1202,Biochemical Engineering,TYCE,0,bn.thorat,Y. R. Gokarn,,,,
CET1504,Chemical Project Engineering and Economics,FNCE,0,ab.pandit,A. B. Pandit,,,,
CET1505,Process Engineering,FNCE,0,vg.gaikar,V. G. Gaikar,,,,
HUT1102,"Perspective of Society, Science and Technology",FNCE,0,bn.thorat,B. N. Thorat,,,,
CET1606,Elective III Advanced Materials,FNCE,0,nr.jha,N. R. Jha,,,,
CET1511,Elective III Plant Utilities,FNCE,0,bn.thorat,Ravi Mariwalla,,,,
CET2151,Advanced Momentum Transfer,MCHE,0,av.patwardhan,A. V. Patwardhan,,,,
CET2152,Advanced Heat Transfer,MCHE,0,vk.rathod,V. K. Rathod,,,,
CET2153,Advanced Mass Transfer Operations,MCHE,0,pd.vaidya,P. D. Vaidya,,,,
CET2351,Thermodynamics of Phase Equilibria,MCHE,0,aw.patwardhan,A. W. Patwardhan,,,,
CET2251,Advanced Reaction Engineering,MCHE,0,pr.gogate,P. R. Gogate,,,,
CET1753,Process Modelling and Simulation,MCHE,1,aw.patwardhan,A. W. Patwardhan,,,,
CET2252,Multiphase Reactors,MCHE,1,vk.rathod,V. K. Rathod,,,,
CET2656,Advanced Material Science,MCHE,1,kv.marathe,K. V. Marathe,,,,
CET2352,Molecular Modelling,MCHE,1,vh.dalvi,V. H. Dalvi,,,,
CET2451,Advanced Separation Processes,MCHE,1,vg.gaikar,V. G. Gaikar,,,,
BST2153,Advanced Biochemical Engineering,MCHE,1,bn.thorat,Y. R. Gokarn,,,,
CET2256,Downstream Processing in Biotechnology,MCHE,1,am.lali,A. M. Lali,,,,
MAT1102,Applied Mathematics II,FYCE,1,a.kumar,S. Mahapatra,S. K. Gautam,,,
CHT1211,Analytical Chemistry,FYCE,1,ar.kapdi,J. M. Nagarkar,A. R. Kapdi,,,
CET1501,Material and Energy Balance Computations,FYCE,1,aw.patwardhan,A. W. Patwardhan,,,,
PYT1103,Applied Physics II,FYCE,1,m.narayan,M. Narayan,S. M. Pawde,,,
CHT1231,Organic Chemistry II,FYCE,1,bm.bhanage,S. D. Samant,B. M. Bhanage,,,
GET1109,Electrical Engineering and Electronics,SYCE,1,p.goswami,M. A. K. Kerawala,P. Goswami,,,
CET1302,Chemical Engineering Thermodynamics II,SYCE,1,ss.bhagwat,S. S. Bhagwat,,,,
GET1107,Energy Engineering,SYCE,1,vr.gaval,V. R. Gaval,R. S. N. Sahai,,,
MAT1104,Applied Mathematics IV,SYCE,1,a.kumar,A. Kumar,,,,
CET1401,Chemical Engineering Operations,SYCE,1,pr.nemade,P. R. Nemade,Y. R. Gokarn,,,
CET1601,Materials Technology,TYCE,1,kv.marathe,K. V. Marathe,,,,
CET1203,Multiphase Reaction Engineering,TYCE,1,vk.rathod,V. K. Rathod,,,,
